date,count
2014-11-30,12789
2014-12-31,90468
2015-01-31,318352
2015-02-28,595727
2015-03-31,1020186
2015-04-30,1610352
2015-05-31,2466037
2015-06-30,3416536
2015-07-31,5051548
2015-08-31,7211493
2015-09-30,9654201
2015-10-31,11919011
2015-11-30,14573556
2015-12-31,17784094
2016-01-31,21750912
2016-02-29,25968427
2016-03-31,32212609
2016-04-30,38310958
2016-05-31,43649725
2016-06-30,50494301
2016-07-31,58838123
2016-08-31,65958358
2016-09-30,72178819
2016-10-31,81132097
2016-11-30,90498377
2016-12-31,96789038
2017-01-31,108512867
2017-02-28,119929910
2017-03-31,135149492
2017-04-30,146515370
2017-05-31,160502438
2017-06-30,175775608
2017-07-31,191518423
2017-08-31,207645301
2017-09-30,223053461
2017-10-31,243361433
2017-11-30,262085276
2017-12-31,280094485
2018-01-31,301225724
2018-02-28,322074039
2018-03-31,347308401
2018-04-30,373558717
2018-05-31,405980009
2018-06-30,438390585
2018-07-31,473418586
2018-08-31,511343064
2018-09-30,550428366
2018-10-31,597951881
2018-11-30,648530037
2018-12-31,701531244
2019-01-31,763242201
2019-02-28,827959867
2019-03-31,904458462
2019-04-30,988355857
2019-05-31,1086331670
2019-06-30,1191227318
2019-07-31,1293974377
2019-08-31,1408507876
2019-09-30,1530695921
2019-10-31,1682790942
2019-11-30,1836899502
2019-12-31,1993752818
2020-01-31,2179683046
2020-02-29,2352674859
2020-03-31,2552390894
2020-04-30,2764820711
2020-05-31,2996921044
2020-06-30,3252197566
2020-07-31,3516894413
2020-08-31,3791297388
2020-09-30,4076534471
2020-10-31,4402697066
2020-11-30,4724179983
2020-12-31,5042701739
2021-01-31,5415393763
2021-02-28,5822850838
2021-03-31,6317048767
2021-04-30,6799457709
2021-05-31,7286738291
2021-06-30,7812457553
2021-07-31,8366523460
2021-08-31,9015314397
2021-09-30,9701674853
2021-10-31,10463728176
2021-11-30,11184516013
2021-12-31,11925872484
2022-01-31,13061502708
2022-02-28,13833796823
2022-03-31,14767842998
2022-04-30,15686152230
2022-05-31,16650039756
2022-06-30,17694219081
2022-07-31,18850300637
2022-08-31,20094503257
2022-09-30,20323076831
