date,count
2014-11-01,409
2014-12-01,647
2015-1-01,1289
2015-2-01,1463
2015-3-01,1702
2015-4-01,1940
2015-5-01,2214
2015-6-01,2448
2015-7-01,2661
2015-8-01,2907
2015-9-01,3073
2015-10-01,3280
2015-11-01,3486
2015-12-01,3701
2016-1-01,3930
2016-2-01,4205
2016-3-01,4491
2016-4-01,4750
2016-5-01,5025
2016-6-01,5292
2016-7-01,5569
2016-8-01,5887
2016-9-01,6314
2016-10-01,6676
2016-11-01,6970
2016-12-01,7390
2017-1-01,7805
2017-2-01,8197
2017-3-01,8634
2017-4-01,9053
2017-5-01,9569
2017-6-01,10092
2017-7-01,10560
2017-8-01,11024
2017-9-01,11521
2017-10-01,12033
2017-11-01,12540
2017-12-01,13047
2018-1-01,13599
2018-2-01,14237
2018-3-01,14938
2018-4-01,15518
2018-5-01,16104
2018-6-01,16611
2018-7-01,17175
2018-8-01,18152
2018-9-01,18841
2018-10-01,19771
2018-11-01,20571
2018-12-01,21383
2019-1-01,22318
2019-2-01,23232
2019-3-01,24218
2019-4-01,25094
2019-5-01,26194
2019-6-01,27155
2019-7-01,28252
2019-8-01,29254
2019-9-01,30378
2019-10-01,31479
2019-11-01,32568
2019-12-01,33738
2020-1-01,35157
2020-2-01,36634
2020-3-01,37958
2020-4-01,39402
2020-5-01,41083
2020-6-01,42463
2020-7-01,43982
2020-8-01,45745
2020-9-01,47361
2020-10-01,48884
2020-11-01,50301
2020-12-01,51901
2021-1-01,53624
2021-2-01,55216
2021-3-01,57873
2021-4-01,60035
2021-5-01,61902
2021-6-01,63423
2021-7-01,64958
2021-8-01,66790
2021-9-01,68291
2021-10-01,70159
2021-11-01,71900
2021-12-01,73656
2022-1-01,75936
2022-2-01,77806
2022-3-01,80079
2022-4-01,82061
2022-5-01,84554
2022-6-01,86613
2022-7-01,88717
2022-8-01,90946
2022-9-01,93172
2022-10-01,95725
2022-11-01,98342
2022-12-01,100633
2023-1-01,103474
2023-2-01,106277
2023-3-01,109804
2023-4-01,112773
2023-5-01,115976
2023-6-01,118563
2023-7-01,121340
2023-8-01,124176
2023-9-01,126817
2023-10-01,128157
