downloaded_at,downloads,package_version
2022-09-07,1,286958
2022-09-07,1,54670
2022-09-07,1,81669
2022-09-07,1,84047
2022-09-07,1,186073
2022-09-07,1,258831
2022-09-07,1,602392
2022-09-07,1,286923
2022-09-07,1,421406
2022-09-07,1,180249
2022-09-07,1,147673
2022-09-07,1,84322
2022-09-07,1,104381
2022-09-07,1,413749
2022-09-07,1,333338
2022-09-07,1,415834
2022-09-07,1,133088
2022-09-07,1,300158
2022-09-07,1,52375
2022-09-07,1,286911
2022-09-07,1,87935
2022-09-07,1,267372
2022-09-07,1,84355
2022-09-07,1,601512
2022-09-07,1,82907
2022-09-07,1,286915
2022-09-07,1,410567
2022-09-07,1,485675
2022-09-07,1,194035
2022-09-07,1,376478
2022-09-07,1,333946
2022-09-07,1,403704
2022-09-07,1,362447
2022-09-07,1,104250
2022-09-07,1,487074
2022-09-07,2,251116
2022-09-07,1,255029
2022-09-07,1,383786
2022-09-07,1,333417
2022-09-07,1,262795
2022-09-07,1,340420
2022-09-07,1,151771
2022-09-07,1,286907
2022-09-07,1,122222
2022-09-07,1,408570
2022-09-07,1,321785
2022-09-07,1,418990
2022-09-07,1,569418
2022-09-07,1,46950
2022-09-07,1,104382
2022-09-07,1,104452
2022-09-07,1,364208
2022-09-07,49,103223
2022-09-07,1,83638
2022-09-07,1,254693
2022-09-07,1,586933
2022-09-07,1,147679
2022-09-07,1,46701
2022-09-07,1,400742
2022-09-07,1,84921
2022-09-07,3,605697
2022-09-07,1,104274
2022-09-07,2,280727
2022-09-07,1,286885
2022-09-07,1,333339
2022-09-07,1,563512
2022-09-07,1,407474
2022-09-07,1,410416
2022-09-07,11,303065
2022-09-07,1,286918
2022-09-07,1,104275
2022-09-07,1,550813
2022-09-07,1,415329
2022-09-07,1,586229
2022-09-07,1,418988
2022-09-07,1,386546
2022-09-07,1,599252
2022-09-07,1,471854
2022-09-07,1,83985
2022-09-07,1,262796
2022-09-07,1,523441
2022-09-07,1,85039
2022-09-07,1,300314
2022-09-07,1,104307
2022-09-07,1,83583
2022-09-07,1,435104
2022-09-07,1,147680
2022-09-07,1,308611
2022-09-07,1,104276
2022-09-07,1,104198
2022-09-07,1,409605
2022-09-07,1,104284
2022-09-07,1,52097
2022-09-07,1,248933
2022-09-07,1,83642
2022-09-07,1,364212
2022-09-07,1,26792
2022-09-07,1,286800
2022-09-07,1,104344
2022-09-07,2,104455
2022-09-07,1,85413
2022-09-07,4,83078
2022-09-07,1,46955
2022-09-07,1,299206
2022-09-07,1,371569
2022-09-07,1,333390
2022-09-07,1,526767
2022-09-07,1,84230
2022-09-07,1,45760
2022-09-07,2,85772
2022-09-07,1,83643
2022-09-07,1,147681
2022-09-07,1,364269
2022-09-07,1,147682
2022-09-07,1,387656
2022-09-07,1,104424
2022-09-07,1,83933
2022-09-07,1,84231
2022-09-07,1,86039
2022-09-07,1,104348
2022-09-07,1,286892
2022-09-07,1,286877
2022-09-07,1,255082
2022-09-07,1,300326
2022-09-07,1,86114
2022-09-07,1,600393
2022-09-07,1,286861
2022-09-07,1,586941
2022-09-07,1,104137
2022-09-07,1,104300
2022-09-07,1,333792
2022-09-07,1,371579
2022-09-07,1,410550
2022-09-07,1,84562
2022-09-07,1,52841
2022-09-07,1,85681
2022-09-07,1,426767
2022-09-07,1,418995
2022-09-07,1,586942
2022-09-07,1,388931
2022-09-07,1,388620
2022-09-07,1,144622
2022-09-07,1,131048
2022-09-07,1,426147
2022-09-07,1,603014
2022-09-07,1,85429
2022-09-07,1,104098
2022-09-07,1,85444
2022-09-07,1,85006
2022-09-07,1,262862
2022-09-07,1,507367
2022-09-07,2,468977
2022-09-07,1,600533
2022-09-07,1,486996
2022-09-07,1,147844
2022-09-07,1,300182
2022-09-07,1,218237
2022-09-07,1,286879
2022-09-07,1,104244
2022-09-07,1,304176
2022-09-07,1,83674
2022-09-07,1,449409
2022-09-07,1,410534
2022-09-07,1,84392
2022-09-07,1,104237
2022-09-07,1,544485
2022-09-07,1,586952
2022-09-07,1,104240
2022-09-07,1,104218
2022-09-07,1,364251
2022-09-07,1,389256
2022-09-07,1,390787
2022-09-07,1,85445
