date,count
2010-06-30,831
2010-07-31,877
2010-08-31,900
2010-09-30,926
2010-10-31,965
2010-11-30,997
2010-12-31,1025
2011-01-31,1060
2011-02-28,1096
2011-03-31,1143
2011-04-30,1164
2011-05-31,1190
2011-06-30,1220
2011-07-31,1241
2011-08-31,1258
2011-09-30,1285
2011-10-31,1306
2011-11-30,1323
2011-12-31,1344
2012-01-31,1370
2012-02-29,1379
2012-03-31,1385
2012-04-30,1404
2012-05-31,1411
2012-06-30,1418
2012-07-31,1427
2012-08-31,1438
2012-09-30,1450
2012-10-31,1453
2012-11-30,1454
2012-12-31,1455
2013-01-31,1457
2013-02-28,1513
2013-03-31,1589
2013-04-30,1983
2013-05-31,2102
2013-06-30,2184
2013-07-31,2329
2013-08-31,2479
2013-09-30,2606
2013-10-31,2780
2013-11-30,2893
2013-12-31,3055
2014-01-31,3337
2014-02-28,3556
2014-03-31,3779
2014-04-30,4078
2014-05-31,4305
2014-06-30,4616
2014-07-31,5004
2014-08-31,5282
2014-09-30,5617
2014-10-31,6088
2014-11-30,6481
2014-12-31,7027
2015-01-31,7837
2015-02-28,8213
2015-03-31,8546
2015-04-30,9125
2015-05-31,10317
2015-06-30,10805
2015-07-31,11135
2015-08-31,11515
2015-09-30,11926
2015-10-31,12353
2015-11-30,12617
2015-12-31,13028
2016-01-31,13432
2016-02-29,13714
2016-03-31,14266
2016-04-30,14657
2016-05-31,15062
2016-06-30,15421
2016-07-31,15812
2016-08-31,16225
2016-09-30,16551
2016-10-31,16941
2016-11-30,17269
2016-12-31,17712
2017-01-31,18259
2017-02-28,18678
2017-03-31,19144
2017-04-30,19601
2017-05-31,20014
2017-06-30,20405
2017-07-31,20816
2017-08-31,21211
2017-09-30,21603
2017-10-31,22186
2017-11-30,22861
2017-12-31,23429
2018-01-31,24052
2018-02-28,24539
2018-03-31,25190
2018-04-30,25772
2018-05-31,26328
2018-06-30,26913
2018-07-31,27553
2018-08-31,28180
2018-09-30,28753
2018-10-31,29302
2018-11-30,29962
2018-12-31,30633
2019-01-31,31512
2019-02-28,32052
2019-03-31,32711
2019-04-30,33578
2019-05-31,34245
2019-06-30,34867
2019-07-31,35766
2019-08-31,36519
2019-09-30,37102
2019-10-31,37738
2019-11-30,38527
2019-12-31,39212
2020-01-31,39913
2020-02-29,40634
2020-03-31,41334
2020-04-30,42162
2020-05-31,43009
2020-06-30,44016
2020-07-31,44942
2020-08-31,45659
2020-09-30,46377
2020-10-31,47020
2020-11-30,47726
2020-12-31,48567
2021-01-31,49428
2021-02-28,50522
2021-03-31,51362
2021-04-30,52269
2021-05-31,53534
2021-06-30,54182
2021-07-31,55183
2021-08-31,56226
2021-09-30,57051
2021-10-31,57883
2021-11-30,58895
2021-12-31,60008
2022-01-31,61106
2022-02-28,62144
2022-03-31,63350
2022-04-30,64385
2022-05-31,65483
2022-06-30,66670
2022-07-31,68263
2022-08-31,69829
2022-09-30,71154
2022-10-31,72507
2022-11-30,73680
2022-12-31,74742
2023-01-31,76022
2023-02-28,77258
2023-03-31,78714
2023-04-30,80010
2023-05-31,81411
2023-06-30,82493
2023-07-31,83518
2023-08-31,84564
2023-09-30,85643
2023-10-31,86187
