date,count
2014-11-01,383
2014-12-01,621
2015-1-01,874
2015-2-01,1045
2015-3-01,1283
2015-4-01,1521
2015-5-01,1795
2015-6-01,2029
2015-7-01,2242
2015-8-01,2484
2015-9-01,2650
2015-10-01,2857
2015-11-01,3063
2015-12-01,3278
2016-1-01,3507
2016-2-01,3782
2016-3-01,4068
2016-4-01,4327
2016-5-01,4602
2016-6-01,4869
2016-7-01,5146
2016-8-01,5464
2016-9-01,5887
2016-10-01,6249
2016-11-01,6543
2016-12-01,6963
2017-1-01,7378
2017-2-01,7767
2017-3-01,8204
2017-4-01,8623
2017-5-01,9139
2017-6-01,9662
2017-7-01,10130
2017-8-01,10594
2017-9-01,11091
2017-10-01,11603
2017-11-01,12108
2017-12-01,12611
2018-1-01,13159
2018-2-01,13791
2018-3-01,14492
2018-4-01,15069
2018-5-01,15655
2018-6-01,16160
2018-7-01,16719
2018-8-01,17506
2018-9-01,18192
2018-10-01,19104
2018-11-01,19897
2018-12-01,20691
2019-1-01,21623
2019-2-01,22536
2019-3-01,23522
2019-4-01,24398
2019-5-01,25348
2019-6-01,26283
2019-7-01,27369
2019-8-01,28368
2019-9-01,29390
2019-10-01,30483
2019-11-01,31540
2019-12-01,32640
2020-1-01,34011
2020-2-01,35472
2020-3-01,36738
2020-4-01,38171
2020-5-01,39841
2020-6-01,41211
2020-7-01,42705
2020-8-01,44413
2020-9-01,46020
2020-10-01,47538
2020-11-01,48917
2020-12-01,50516
2021-1-01,52239
2021-2-01,53810
2021-3-01,55822
2021-4-01,57919
2021-5-01,59761
2021-6-01,61270
2021-7-01,62796
2021-8-01,64625
2021-9-01,66122
2021-10-01,67989
2021-11-01,69728
2021-12-01,71442
2022-1-01,73704
2022-2-01,75531
2022-3-01,77789
2022-4-01,79758
2022-5-01,82250
2022-6-01,84262
2022-7-01,86336
2022-8-01,88538
2022-9-01,90731
2022-10-01,93262
2022-11-01,95849
2022-12-01,98133
2023-1-01,100962
2023-2-01,103754
2023-3-01,107270
2023-4-01,110186
2023-5-01,113250
2023-6-01,115834
2023-7-01,118600
2023-8-01,121416
2023-9-01,124054
2023-10-01,126845
2023-11-01,129708
2023-12-01,132344
2024-1-01,135728
2024-2-01,138615
2024-3-01,141751
2024-4-01,143142
